pathway_name,is_cancer_related
KEGG_ALZHEIMERS_DISEASE,0
KEGG_PARKINSONS_DISEASE,0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0
KEGG_HUNTINGTONS_DISEASE,0
KEGG_PRION_DISEASES,0
KEGG_VIBRIO_CHOLERAE_INFECTION,0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0
KEGG_LEISHMANIA_INFECTION,0
KEGG_PATHWAYS_IN_CANCER,1
KEGG_COLORECTAL_CANCER,1
KEGG_RENAL_CELL_CARCINOMA,1
KEGG_PANCREATIC_CANCER,1
KEGG_ENDOMETRIAL_CANCER,1
KEGG_GLIOMA,1
KEGG_PROSTATE_CANCER,1
KEGG_THYROID_CANCER,1
KEGG_BASAL_CELL_CARCINOMA,1
KEGG_MELANOMA,1
KEGG_BLADDER_CANCER,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,1
KEGG_ACUTE_MYELOID_LEUKEMIA,1
KEGG_SMALL_CELL_LUNG_CANCER,1
KEGG_NON_SMALL_CELL_LUNG_CANCER,1
KEGG_ASTHMA,0
KEGG_AUTOIMMUNE_THYROID_DISEASE,0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0
KEGG_ALLOGRAFT_REJECTION,0
KEGG_GRAFT_VERSUS_HOST_DISEASE,0
KEGG_PRIMARY_IMMUNODEFICIENCY,0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0
KEGG_DILATED_CARDIOMYOPATHY,0
KEGG_VIRAL_MYOCARDITIS,0
